Nucleus trapezoidalis,cocomac:2064,nucleus of trapezoid body,UBERON:0007633,FMA:84023
central nucleus of the amygdala,cocomac:12,central amygdaloid nucleus,UBERON:0002883,FMA:74047
Putamen,cocomac:210,putamen,UBERON:0001874,FMA:61834
Nucleus of the vertical limb of the diagonal band,cocomac:1945,vertical limb of the diagonal band,UBERON:0006124,FMA:77612
Nucleus habenularis medialis,cocomac:1056,medial habenular nucleus,UBERON:0001942,FMA:62373
Lateral nucleus of the amygdala,cocomac:647,lateral amygdaloid nucleus,UBERON:0002886,FMA:61866
Nucleus pulvinaris thalami,cocomac:141,pulvinar nucleus,UBERON:0002981,FMA:62178
Nucleus limitans thalami,cocomac:575,limitans nucleus,UBERON:0003026,FMA:62220
basolateral nucleus (amygdala),cocomac:127,basal amygdaloid nucleus,UBERON:0002887,FMA:68855
Area preoptica lateralis,cocomac:2065,lateral preoptic nucleus,UBERON:0001931,FMA:62326
Nucleus submedius thalami,cocomac:2350,submedial nucleus of thalamus,UBERON:0003031,FMA:62223
Entorhinal cortex,cocomac:1150,entorhinal cortex,UBERON:0002728,FMA:72356
Nucleus tegmenti ventralis,cocomac:2091,ventral tegmental nucleus,UBERON:0002438,FMA:72435
intraparietal sulcus,cocomac:2043,intraparietal sulcus,UBERON:0002913,FMA:83772
nucleus anterodorsalis thalami,cocomac:737,anterodorsal nucleus of thalamus,UBERON:0002679,FMA:62141
Organum subfornicale,cocomac:2116,subfornical organ,UBERON:0002219,FMA:75260
periamygdaloid cortex,cocomac:81,periamygdaloid cortex,UBERON:0014537,
Intralaminar nuclei of the thalamus,cocomac:543,intralaminar nuclear group,UBERON:0002733,FMA:62021
Insula,cocomac:1216,insula,UBERON:0002022,FMA:67329
infundibulum,cocomac:1975,pituitary stalk,UBERON:0002434,FMA:74635
Nucleus cochlearis ventralis,cocomac:2165,dorsal longitudinal fasciculus,UBERON:0003045,FMA:83845
cerebral peduncle,cocomac:941,cerebral peduncle,UBERON:0002623,FMA:62394
Nucleus cochlearis dorsalis,cocomac:2146,dorsal cochlear nucleus,UBERON:0002829,FMA:54624
"Central nucleus of the amygdala; medial, magnocellular division",cocomac:13,central amygdaloid nucleus,UBERON:0002883,FMA:74047
Perirhinal cortex,cocomac:1934,perirhinal cortex,UBERON:0006083,
Striate cortex,cocomac:436,primary visual cortex,UBERON:0002436,FMA:236871FMA:68614
Nucleus reticularis thalami,cocomac:142,thalamic reticular nucleus,UBERON:0001903,FMA:62026
Superior parietal cortex,cocomac:1067,superior parietal cortex,UBERON:0006094,FMA:61899
perirhinal cortex,cocomac:1533,perirhinal cortex,UBERON:0006083,
Locus coeruleus,cocomac:2202,locus ceruleus,UBERON:0002148,FMA:72478
Nucleus reuniens thalami,cocomac:120,reuniens nucleus,UBERON:0001921,FMA:62153
nucleus of the optic tract,cocomac:674,nucleus of optic tract,UBERON:0002996,FMA:72403
endopiriform nucleus,cocomac:69,endopiriform nucleus,UBERON:0014284,
"Nucleus caudatus; body, intermediate, dorsal",cocomac:984,caudate nucleus,UBERON:0001873,FMA:61833
Nucleus paracentralis thalami,cocomac:550,paracentral nucleus,UBERON:0001924,FMA:62172
