"Nucleus medialis dorsalis thalami, pars paramediana",cocomac:1990,anteroventral nucleus of thalamus,UBERON:0002685,FMA:62143
"Nucleus medialis dorsalis thalami, pars paramediana",cocomac:1990,ventral lateral nucleus of thalamus,UBERON:0001925,FMA:62186
"Nucleus medialis dorsalis thalami, pars paramediana",cocomac:1990,anterodorsal nucleus of thalamus,UBERON:0002679,FMA:62141
"Nucleus medialis dorsalis thalami, pars paramediana",cocomac:1990,centromedian nucleus of thalamus,UBERON:0002972,FMA:62165
"Nucleus medialis dorsalis thalami, pars paramediana",cocomac:1990,lateral posterior nucleus of thalamus,UBERON:0002983,FMA:62177
"Nucleus medialis dorsalis thalami, pars paramediana",cocomac:1990,caudal part of ventral posterolateral nucleus of thalamus,UBERON:0002781,FMA:62206
"Nucleus medialis dorsalis thalami, pars paramediana",cocomac:1990,anteromedial nucleus of thalamus,UBERON:0002681,FMA:62142
"Nucleus medialis dorsalis thalami, pars paramediana",cocomac:1990,ventral anterior nucleus of thalamus,UBERON:0002637,FMA:62184
"Nucleus medialis dorsalis thalami, pars paramediana",cocomac:1990,thalamic reticular nucleus,UBERON:0001903,FMA:62026
"Nucleus medialis dorsalis thalami, pars paramediana",cocomac:1990,ventral posterior nucleus of thalamus,UBERON:0002596,FMA:62187
"Nucleus medialis dorsalis thalami, pars paramediana",cocomac:1990,submedial nucleus of thalamus,UBERON:0003031,FMA:62223
Central temporal cortex,cocomac:1107,temporal cortex,UBERON:0016538,FMA:242201
Central temporal cortex,cocomac:1107,temporal cortex cingulum,UBERON:0022429,
Central temporal cortex,cocomac:1107,temporal cortex association area,UBERON:0035013,
Paralaminar amygdaloid nucleus,cocomac:331,paralaminar part of medial dorsal nucleus,UBERON:0002650,FMA:62160
Paralaminar amygdaloid nucleus,cocomac:331,intercalated amygdaloid nuclei,UBERON:0002884,FMA:61868
Paralaminar amygdaloid nucleus,cocomac:331,central amygdaloid nucleus,UBERON:0002883,FMA:74047
"Periamygdaloid cortex (sulcal part), superficial cell layer",cocomac:96,periamygdaloid cortex,UBERON:0014537,
"Periamygdaloid cortex (sulcal part), superficial cell layer",cocomac:96,Purkinje cell layer of cerebellar cortex,UBERON:0002979,FMA:83896
"Periamygdaloid cortex (sulcal part), superficial cell layer",cocomac:96,nervous system cell part layer,UBERON:0022303,
"Periamygdaloid cortex (sulcal part), superficial cell layer",cocomac:96,superior colliculus superficial gray layer,UBERON:0006120,FMA:72407
"Periamygdaloid cortex (sulcal part), superficial cell layer",cocomac:96,superficial layer of superior colliculus,UBERON:0006791,
"Periamygdaloid cortex (sulcal part), superficial cell layer",cocomac:96,superficial white layer of superior colliculus,UBERON:0006779,FMA:71112
"Ventral area 6, dorsal subdivision",cocomac:879,subdivision of spinal cord dorsal column,UBERON:0006079,FMA:258190
"Ventral area 6, dorsal subdivision",cocomac:879,subdivision of spinal cord ventral column,UBERON:0016551,
"Ventral area 6, dorsal subdivision",cocomac:879,ventral tegmental area,UBERON:0002691,FMA:72438
"Ventral area 6, dorsal subdivision",cocomac:879,area X of ventral lateral nucleus,UBERON:0002687,FMA:62198
"Ventral area 6, dorsal subdivision",cocomac:879,medial ventral tegmental area,UBERON:0023865,
Area temporalis superior 3,cocomac:413,Brodmann (1909) area 3,UBERON:0006100,FMA:68599
posterodorsal medial geniculate nucleus,cocomac:1550,posterodorsal nucleus of medial geniculate body,UBERON:0023094,
posterodorsal medial geniculate nucleus,cocomac:1550,anterodorsal nucleus of medial geniculate body,UBERON:0014521,
posterodorsal medial geniculate nucleus,cocomac:1550,ventral nucleus of medial geniculate body,UBERON:0002985,FMA:62217
posterodorsal medial geniculate nucleus,cocomac:1550,magnocellular nucleus of medial geniculate body,UBERON:0002759,FMA:62218
posterodorsal medial geniculate nucleus,cocomac:1550,dorsal nucleus of medial geniculate body,UBERON:0002758,FMA:62216
"laterar division of the pulvinar, internal portion",cocomac:371,oral pulvinar nucleus,UBERON:0002641,FMA:62180
"laterar division of the pulvinar, internal portion",cocomac:371,medial pulvinar nucleus,UBERON:0002638,FMA:62182
"laterar division of the pulvinar, internal portion",cocomac:371,lateral pulvinar nucleus,UBERON:0002636,FMA:62181
"laterar division of the pulvinar, internal portion",cocomac:371,inferior pulvinar nucleus,UBERON:0002982,FMA:62183
"laterar division of the pulvinar, internal portion",cocomac:371,pulvinar nucleus,UBERON:0002981,FMA:62178
"Cortical amygdaloid nucleus, amygdaloid portion: pars caudalis intermedia",cocomac:1310,cortical amygdaloid nucleus,UBERON:0002891,FMA:61862
"Cortical amygdaloid nucleus, amygdaloid portion: pars caudalis intermedia",cocomac:1310,posterolateral cortical amygdaloid nucleus,UBERON:0034999,
"Cortical amygdaloid nucleus, amygdaloid portion: pars caudalis intermedia",cocomac:1310,posteromedial cortical amygdaloid nucleus,UBERON:0035001,
"Cortical amygdaloid nucleus, amygdaloid portion: pars caudalis intermedia",cocomac:1310,anterior cortical amygdaloid nucleus,UBERON:0034991,
"V4 transitional area, posterior zone",cocomac:1499,paraventricular nucleus of the hypothalamus magnocellular division - posterior magnocellular part medial zone,UBERON:0022783,
"V4 transitional area, posterior zone",cocomac:1499,paraventricular nucleus of the hypothalamus magnocellular division - posterior magnocellular part lateral zone,UBERON:0022791,
Toe 3 area of primary sensory cortex,cocomac:498,sensory dissociation area,UBERON:0003938,
Toe 3 area of primary sensory cortex,cocomac:498,primary olfactory cortex,UBERON:0022469,
Toe 3 area of primary sensory cortex,cocomac:498,primary somatosensory cortex lamina VI,UBERON:0023859,
Toe 3 area of primary sensory cortex,cocomac:498,primary motor cortex,UBERON:0001384,FMA:224854
Toe 3 area of primary sensory cortex,cocomac:498,primary visual cortex,UBERON:0002436,FMA:236871FMA:68614
Toe 3 area of primary sensory cortex,cocomac:498,primary motor cortex layer 6,UBERON:0022316,
Toe 3 area of primary sensory cortex,cocomac:498,primary motor cortex layer 5,UBERON:0022315,
Toe 3 area of primary sensory cortex,cocomac:498,primary motor cortex layer 1,UBERON:0034888,
Toe 3 area of primary sensory cortex,cocomac:498,primary somatosensory cortex,UBERON:0008933,
Toe 3 area of primary sensory cortex,cocomac:498,primary auditory cortex,UBERON:0034751,FMA:272953
Toe 3 area of primary sensory cortex,cocomac:498,temporal cortex association area,UBERON:0035013,
parietal association area,cocomac:525,temporal cortex association area,UBERON:0035013,
Inferior temporal cortex anterodorsal part,cocomac:2220,inferior temporal sulcus,UBERON:0002969,FMA:83784
Inferior temporal cortex anterodorsal part,cocomac:2220,inferior temporal gyrus,UBERON:0002751,FMA:61907
Inferior temporal cortex anterodorsal part,cocomac:2220,temporal cortex,UBERON:0016538,FMA:242201
Inferior temporal cortex anterodorsal part,cocomac:2220,temporal cortex cingulum,UBERON:0022429,
Inferior temporal cortex anterodorsal part,cocomac:2220,temporal cortex association area,UBERON:0035013,
Inferior temporal cortex anterodorsal part,cocomac:2220,inferior parietal cortex,UBERON:0006088,FMA:77536
Inferior temporal cortex anterodorsal part,cocomac:2220,inferior lateral occipital cortex,UBERON:0022367,FMA:71034
middle lateral auditory belt,cocomac:1231,middle lateral line nerve,UBERON:2001482,
middle lateral auditory belt,cocomac:1231,middle lateral line ganglion,UBERON:2001483,
middle lateral auditory belt,cocomac:1231,middle lateral line nerve (MLLN),UBERON:3010126,
